candidate,period,scenario,net_usd,account_return_pct,drawdown_usd,intraday_low_drawdown_usd,closed_episodes,fees_usd
sma_btc-010,development,base,-139.95209229390457,-1.399520922939046,222.62637145456029,229.52406316252745,10,157.54613408690403
sma_btc-010,development,cost,-192.2560657244303,-1.9225606572442988,247.78935219812956,254.63115524048953,10,195.93724068543003
sma_btc-010,development,delay,-171.65933520414183,-1.7165933520414178,234.1276831106552,239.74407191852697,10,157.07715185414403
sma_btc-010,development,combined,-223.63559735662056,-2.2363559735662064,259.1938436377495,264.76481721734854,10,195.35595558662004
sma_btc-010,later_2025,base,-172.8714271584813,-1.728714271584808,277.79971453508733,288.0526400796625,8,126.14503101648003
sma_btc-010,later_2025,cost,-214.34732894134686,-2.1434732894134667,297.16800629877616,307.3277684971854,8,157.03231389235
sma_btc-010,later_2025,delay,-152.28699089769725,-1.522869908976976,263.4880457330255,269.60194967507414,8,126.42966913269599
sma_btc-010,later_2025,combined,-193.9343649793118,-1.9393436497931127,293.7659145714206,299.8243163092702,8,157.38568544031
sma_btc-010,recent_2026,base,-192.26029251204636,-1.9226029251204646,255.6576325643182,270.58163012924706,13,203.53664792904797
sma_btc-010,recent_2026,cost,-259.78496934303075,-2.5978496934303097,301.49346535917175,316.26653295714095,13,252.93740729003002
sma_btc-010,recent_2026,delay,-369.1379076651174,-3.691379076651169,378.03833609019057,386.1263048853907,13,200.54555823012004
sma_btc-010,recent_2026,combined,-434.598657516357,-4.345986575163574,438.06496294075623,446.0597510849566,13,249.23396695135003
sma_btc-015,development,base,37.75145640215851,0.3775145640215749,156.27529905923075,170.89943894358294,7,111.87072128784
sma_btc-015,development,cost,-0.3444756788558152,-0.0034447567885620423,171.01393810465743,177.9094996914173,7,139.35513444886007
sma_btc-015,development,delay,87.97772934146997,0.8797772934147075,144.20878082854324,151.92122288905557,7,112.341394292528
sma_btc-015,development,combined,49.518324683162064,0.49518324683162085,154.03126842227175,156.95570129132102,7,139.94034392684
sma_btc-015,later_2025,base,-290.0098314866882,-2.9000983148668835,377.57949776080204,387.7102154962249,7,108.62485530768802
sma_btc-015,later_2025,cost,-325.1772681021175,-3.25177268102117,403.4511633261791,413.4958627379583,7,135.22018893412002
sma_btc-015,later_2025,delay,-245.97970420068668,-2.4597970420068616,327.23085713443106,333.28659087599954,7,109.26062514068802
sma_btc-015,later_2025,combined,-281.544254522707,-2.815442545227065,352.1049258495859,358.1092013451562,7,136.02204211771
sma_btc-015,recent_2026,base,-55.076712982085155,-0.5507671298208505,181.68703987035587,196.65702315867566,9,142.55667776808
sma_btc-015,recent_2026,cost,-102.9098429001042,-1.0290984290010408,212.54774786283087,227.38947578418083,9,177.34002151210004
sma_btc-015,recent_2026,delay,-161.86503543729668,-1.6186503543729636,231.87868030870413,246.6492831200958,9,141.13832559329603
sma_btc-015,recent_2026,combined,-208.67391147346098,-2.086739114734615,262.281114703841,278.26250962314225,9,175.58055294546003
sma_btc-020,development,base,-27.432726073056983,-0.2743272607305669,208.84671154083298,214.4645750261443,6,95.03188216705601
sma_btc-020,development,cost,-59.60696216192082,-0.5960696216192107,234.18384110806073,239.7592743901605,6,118.36489206392001
sma_btc-020,development,delay,16.600137842944605,0.16600137842943674,178.72520848876775,184.3115718969584,6,95.63585359605601
sma_btc-020,development,combined,-15.894972729032816,-0.15894972729032508,204.28503635811285,209.82909744111203,6,119.11767476803
sma_btc-020,later_2025,base,-290.22618019472065,-2.9022618019472035,376.7392262119374,386.8697124383689,7,108.61664359872002
sma_btc-020,later_2025,cost,-325.39122556135044,-3.2539122556135003,403.6651207626419,413.70959891833263,7,135.20928841235002
sma_btc-020,later_2025,delay,-250.91925027737489,-2.5091925027737494,327.27762818532756,336.96450643155185,7,109.01343881937603
